Id_FranceArchives,Nom_du_service,Identifiant_du_service,Courriel,Telephone,Adresse_postale,Adresse_du_service,Ville,Code_postal,Horaires_d_ouverture,Site_internet,Code_insee_commune,Latitude,Longitude,Lien_FranceArchives,Categorie_de_service,Categorie,Service_de_rattachement
33610,Agglomération du Pays de Dreux - Service des archives,FREPCI200040277,archivesagglo@dreux-agglomeration.fr,02.37.82.88.20,,"Médiathèque l'Odyssée, 1, place Mésirard",Dreux,28100,"Du mardi au vendredi de 10h à 12h et de 13h30 à 18h30, le samedi de 10h à 12h et de 13h30 à 17h30",,28134,48.734653,1.363702,https://francearchives.gouv.fr/fr/service/33610,C,Archives municipales,
33834,Archives communautaires et municipales Saumur Val de Loire - Service archives,,archives@saumurvaldeloire.fr,02.41.83.31.45,"11 rue du Maréchal Leclerc, CS 54030, 49408 Saumur Cedex","25 quai Carnot, 49400, Saumur",Saumur,49400,Sur rendez-vous,,49328,47.263212,-0.080172,https://francearchives.gouv.fr/fr/service/33834,C,Archives municipales,
33698,Archives de Rennes,FRAC35238,archives@ville-rennes.fr,02.23.62.12.60,"Hôtel de ville, CS 63126 - 35031 Rennes cedex",18 avenue Jules-Ferry,Rennes,35000,"Le lundi de 13h30 à 17h, les mardi et mercredi de 9h à 12h30 et de 13h30 à 17h, le jeudi de 9h à 17h",http://www.archives.rennes.fr/,35238,48.119676,-1.671044,https://francearchives.gouv.fr/fr/service/33698,C,Archives municipales,
33378,Archives intercommunales de Vichy Communauté - Archives municipales,FRAC03310,archives@vichy-communaute.fr,04.70.30.17.86,CS 92956 03209 VICHY Cedex,rue Marie Jeanne Bouteille,Vichy,03200,"Les lundi, jeudi et vendredi de 8h30 à 12h et de 13h30 à 16h30",https://www.ville-vichy.fr/ma-ville/patrimoine/archives/,03310,46.124352307,3.428427766,https://francearchives.gouv.fr/fr/service/33378,C,Archives municipales,
96739895,Archives intercommunales et communautaires Nièvre et Somme,FREPCI200071223,archives@nievresomme.fr,06.31.13.45.41,,"2, allée des Quarante",Flixecourt,80420,Sur rendez-vous,http://www.nievresomme.fr/pages/archives/,80622,49.943774,2.147212,https://francearchives.gouv.fr/fr/service/96739895,C,Archives municipales,
34103,Archives municipales de Bourg-Saint-Maurice-Les-Arcs,FRAC73054,p.vidonne@bourgsaintmaurice.fr,04.79.07.72.10,"Mairie, CS 20008, 73704 Bourg-Saint-Maurice-Les-Arcs Cedex",Place Gaymard,Bourg-Saint-Maurice-Les-Arcs,73700,Du lundi au vendredi de 9h à 12h et de 13h30 à 17h,,73054,45.618429,6.769325,https://francearchives.gouv.fr/fr/service/34103,C,Archives municipales,
163478933,Archives municipales de Chambéry,FRAC73065,archives.municipales@mairie-chambery.fr,04.79.62.74.81,"Hôtel de ville, BP 1105, 73011 Chambéry Cedex",5 rue Ronde,Chambéry,73000,"Les lundi et jeudi de 8h30 à 17h, le mardi de 13h à 17h et sur rendez-vous les mercredi et vendredi",https://archives.chambery.fr,73065,45.568844,5.910939,https://francearchives.gouv.fr/fr/service/163478933,C,Archives municipales,
33805,Archives municipales de Gien - Service des archives,,archives@gien.fr,02.38.29.87.97,"Mairie, BP 99, 45503 Gien Cedex","Centre administratif, 3 chemin de Montfort",Gien,45500,Sur rendez-vous,,45155,47.697544,2.624489,https://francearchives.gouv.fr/fr/service/33805,C,Archives municipales,
789142234,Archives municipales de Louhans - Archives de Louhans,FRAC71263,a.buguet@louhans-chateaurenaud.fr,03.85.76.75.10,,39 rue des Bordes,Louhans,71500,Du lundi au vendredi de 8h30 à 12h et de 13h30h à 17h,,71263,46.625643,5.224421,https://francearchives.gouv.fr/fr/service/789142234,C,Archives municipales,
33524,Archives municipales et communautaires Olga de Saint-Affrique,FR17300,archives@ville-larochelle.fr,05 46 51 53 91,Hôtel de Ville - CS 1541 17086 La Rochelle cedex 02,25 B avenue du Président John F. Kennedy,La Rochelle,17000,"Les mardi, mercredi et vendredi de 13h30 à 17h, le jeudi de 10h à 17h",https://www.larochelle.fr/action-municipale/ville-culturelle/les-archives-municipales,17300,46.159924,-1.147728,https://francearchives.gouv.fr/fr/service/33524,C,Archives municipales,
