Titre,URI de la circulaire,Identifiant unique de la circulaire,Type de document,Autres Références,Référence,Statut du texte,Lien vers le texte,Lien vers les annexes,Télécharger le document,Lien vers les annexes,Date de signature,Nature,Code SIAF,Date de signature ou de publication,Services administratifs concernés,Producteur(s),Date de modification,Date d'abrogation,Texte abrogatoire,Domaine archivistique,Contexte historique,Domaines (mots matières),Typologie documentaire,Domaines d'action,Modifie le(s) texte(s) suivant(s),Modifié par les textes suivants,Abroge le(s) texte(s) suivant(s)
Règlement général des Archives départementales,https://francearchives.gouv.fr/circulaire/ARRETE_1921_07_01,ARRETE_1921_07_01,Arrêté interministériel,sans référence,,en vigueur (partiellement abrogée / modifiée),,,,,01/07/1921,,,01/07/1921,Département. Archives départementales,,,,,Circulaire de tri,,collectivité locale; culture,,,,AD_11338_7016; AD_13016_5988; AD_15926_4607; AD_17541_9487; AD_18364_9667; AD_20510_11354; AD_21259_5166; AD_59_15; AD_59_26; AD_63_2; AD_68_7; AD_69_5; AD_70_5; AD_70_6; AD_72_2; AD_72_3; AD_85_1; AD_85_2; AD_86_3; AD_87_10; AD_87_3; DAF_1936_09_07,
Règlement général des Archives communales,https://francearchives.gouv.fr/circulaire/ARRETE_1926_12_31,ARRETE_1926_12_31,Arrêté,sans référence,,en vigueur (partiellement abrogée / modifiée),,,https://francearchives.gouv.fr/file/d86c290fdb1c6f6ef61bdc9ae13b9a379416e440/Arrete-31-12-1926.pdf,,31/12/1926,,,31/12/1926,Commune. (département) Archives communales,,26/08/1966,,,Circulaire de tri,,collectivité locale; culture,,,,AD_11338_7016; AD_63_44; AD_73_1,
Archives des notaires,https://francearchives.gouv.fr/circulaire/LOI_1928_03_14,LOI_1928_03_14,Loi,sans référence,,abrogée,,,,,14/03/1928,,,14/03/1928,Chambre départementale des notaires (département),,,,,Circulaire de tri,,officier ministériel,,,,,
Versement par les bureaux de l'Enregistrement aux archives départementales des sommiers et dossiers relatifs au recouvrement des taxes spéciales,https://francearchives.gouv.fr/circulaire/DAF_1931_09_04,DAF_1931_09_04,,,,abrogée,,,https://francearchives.gouv.fr/file/8158ec4b5856b8d526ebd317cc99dba1b3fbc4f6/04_09_1931.pdf,,,Circulaire,sans référence,04/09/1931,France. Direction générale des impôts (Service de l'Enregistrement),DGI,,,,Circulaire de tri,,finances publiques,,,,,
Versement d'archives universitaires antérieures à 1890,https://francearchives.gouv.fr/circulaire/DAF_1932_12_27,DAF_1932_12_27,,,,caduc,,,https://francearchives.gouv.fr/file/bfa856df64c45bda6bc3799154e5f85f15fed16b/27_12_1932.pdf,,,Circulaire,sans référence,27/12/1932,Université nom (chef-lieu de département),,,,,Circulaire de tri,19e siècle,enseignement,,,,,
Versement de documents antérieurs à 1890 provenant des établissements dépendant de la direction générale des Beaux-Arts et de la direction générale de l'enseignement technique,https://francearchives.gouv.fr/circulaire/DAF_1933_03_18,DAF_1933_03_18,,,,caduc,,,https://francearchives.gouv.fr/file/27bbf7cfe0ecb5d3efbeb330449f61b2624c08ab/18_03_1933.pdf,,,Circulaire,sans référence,18/03/1933,"Établissement d'enseignement technique Nom (commune, département)
Direction générale des Beaux-arts",,,,,Circulaire de tri,19e siècle,culture; enseignement,,,,,
Suppression du versement d'état-matrices dans les archives départementales,https://francearchives.gouv.fr/circulaire/1393,1393,Note du ministère des finances (direction générale des contributions directes),1393,,abrogée,,,https://francearchives.gouv.fr/file/0d5fae7e0dfc737495845545253a6e0d4b072f2c/1393.pdf,,19/04/1934,Circulaire,,25/04/1934,Département. Direction départementale des contributions directes,,,,,Circulaire de tri,,finances publiques; cadastre,,,,,
Élimination de plusieurs catégories de documents concernant les retraites ouvrières et paysannes,https://francearchives.gouv.fr/circulaire/DAF_1936_09_07,DAF_1936_09_07,,,,caduc,,,https://francearchives.gouv.fr/file/0905817bdbab8ef0b5f6e4e18520747be6d54138/07_09_1936.pdf,,,Circulaire,sans référence,07/09/1936,Organisme deprotection sociale agricole,,,,,Circulaire de tri,,protection sociale,,,ARRETE_1921_07_01,,
Versement aux archives départementales des comptes rendus des sessions des chambres d'agriculture,https://francearchives.gouv.fr/circulaire/DAF_1936_10_05,DAF_1936_10_05,,,,caduc,,,https://francearchives.gouv.fr/file/96c583d41e33f8c999a83c4701c51c26cdbe47c0/05_10_1936.pdf,,,Circulaire,sans référence,05/10/1936,Chambre départementale d'agriculture (département),,,,,Circulaire de tri,,agriculture; économie,compte rendu,,,,
Archives départementales : versement des documents comptables,https://francearchives.gouv.fr/circulaire/3429,3429,"Circulaire du ministre des finances, direction générale de la comptabilité publique",3429,,abrogée,,,https://francearchives.gouv.fr/file/681d73da70512d8021a7b9eff6fb94938a0796bd/3429.pdf,,21/01/1938,Circulaire,,21/01/1938,,,,,,Circulaire de tri,,finances publiques,pièce comptable,,,,
Délai de conservation des dossiers individuels des impôts sur le revenu,https://francearchives.gouv.fr/circulaire/DAF_1940_09_17,DAF_1940_09_17,Rapport de la commission des archives,sans référence,,abrogée,,,https://francearchives.gouv.fr/file/1830a7434b2c030b0955503bd00c019543b6120d/02_09_1940.pdf,,02/09/1940,Circulaire,,17/09/1940,France. Direction générale des impôts (Services déconcentrés),DGI,,,,Circulaire de tri,,finances publiques,,,,,
